indicador,nombre,detalle,unidad,formula
47,Income inequality,Ratio between the average income of the top 20% of households and that of the bottom 20% in the municipality.,Index,↓ Descending (lower = better)
48,Income per inhabitant,"Average gross income per inhabitant of the municipality, calculated from tax data and the living conditions survey.",€,↑ Ascending (higher = better)
46,Gini Index,Measure of inequality in household income distribution in the municipality. A value of 0 represents perfect equality and 1 represents maximum inequality.,Index,↓ Descending (lower = better)
119,Urban vulnerability index,Share of the population residing in vulnerable census tracts relative to the territory's total population. A census tract is considered vulnerable when more than 21% of its population has equivalised income below 40% of the national median or this proportion is more than double the city's average share of vulnerable population.,%,↓ Descending (lower = better)
257,Total dependency ratio,Ratio of the dependent population (under 16 and over 64) to the working-age population (16–64).,%,↓ Descending (lower = better)
256,Employed foreign nationals,Percentage of employed foreign nationals relative to the total working-age foreign population.,%,↑ Ascending (higher = better)
49,Population with income below 50% of the median (men),Proportion of men whose income falls below 50% of the national median income.,%,↓ Descending (lower = better)
50,Population with income below 50% of the median (women),Proportion of women whose income falls below 50% of the national median income.,%,↓ Descending (lower = better)
51,Rental cost burden,Percentage of gross household income spent on primary residence rent. Calculated as the ratio of average annual rent to average gross household income at the municipal level.,%,↓ Descending (lower = better)
264,Rental housing price index,"Evolution of rental housing prices in the municipality relative to a base year, as calculated by INE.",Index,↓ Descending (lower = better)
112,Daytime noise comfort (Municipal Sustainability Indicator System),Percentage of the population exposed to daytime noise levels below regulatory limits (dB(A)).,%,↓ Descending (lower = better)
113,Night-time noise comfort (Municipal Sustainability Indicator System),Percentage of the population exposed to night-time noise levels below regulatory limits (dB(A)).,%,↓ Descending (lower = better)
265,Transport infrastructure,"Area occupied by road, rail and logistics infrastructure relative to the municipal territory.",%,↑ Ascending (higher = better)
275,Protected coastline and marine habitats,Percentage of the municipality's coastline included in a marine or coastal environmental protection designation.,%,↑ Ascending (higher = better)
114,Annual mean NO₂ concentration,Annual mean concentration of nitrogen dioxide (NO₂) measured by the municipality's monitoring stations.,µg/m³,↓ Descending (lower = better)
115,Days exceeding the WHO PM10 limit,Number of days per year on which PM10 particle concentration exceeds the WHO recommended limit (15 µg/m³ daily average).,Days,↓ Descending (lower = better)
276,Blue Flag beaches,Proportion of the municipality's beaches that have been awarded the Blue Flag distinction for water quality and services.,%,↑ Ascending (higher = better)
58,Selective waste collection rate,Percentage of municipal waste collected through selective collection (source-separated fractions) relative to total waste generated.,%,↑ Ascending (higher = better)
59,Household waste generation per inhabitant per year,Kilograms of household waste generated per inhabitant per year in the municipality.,kg/inhab.*year,↓ Descending (lower = better)
272,Tourist dwellings,Number of registered tourist dwellings (HUT) per 100 dwellings in the municipality's residential stock.,%,↓ Descending (lower = better)
129,Total greenhouse gas emissions per inhabitant,"Total greenhouse gas (GHG) emissions of the municipality per inhabitant, in tonnes of CO₂ equivalent.",t CO₂eq/inhab.,↓ Descending (lower = better)
278,Bathing water quality,Percentage of inland or coastal bathing zones classified as excellent under Directive 2006/7/EC.,%,↑ Ascending (higher = better)
294,"Educational facilities per 10,000 inhabitants","Number of educational centres per 10,000 inhabitants.","per 10,000 inhab.",↑ Ascending (higher = better)
295,"Healthcare facilities per 10,000 inhabitants","Number of health centres or hospitals per 10,000 inhabitants.","per 10,000 inhab.",↑ Ascending (higher = better)
296,"Sports facilities per 10,000 inhabitants","Number of sports facilities per 10,000 inhabitants.","per 10,000 inhab.",↑ Ascending (higher = better)
297,"Recycling points per 10,000 inhabitants","Number of selective collection facilities per 10,000 inhabitants.","per 10,000 inhab.",↑ Ascending (higher = better)
53,Share of artificial land,"Proportion of the municipal area occupied by urban or developable land (buildings, infrastructure, industrial zones).",%,↓ Descending (lower = better)
285,Crime rate,"Number of criminal offences known to law enforcement per 1,000 inhabitants of the municipality.","per 1,000 inhab.",↓ Descending (lower = better)
286,Homicide and murder rate,"Number of intentional homicides and murders per 100,000 inhabitants of the municipality.","per 100,000 inhab.",↓ Descending (lower = better)
284,Drug trafficking,"Number of arrests for drug-trafficking-related offences per 100,000 inhabitants of the municipality.","per 100,000 inhab.",↓ Descending (lower = better)
204,Municipal budgetary soundness and autonomy,"Proportion of own revenue (chapters 1, 2, 3 and 5) relative to total revenue in the municipality's settled budget.",%,↑ Ascending (higher = better)
70,Municipal election turnout,Percentage of registered voters who exercised their right to vote in the most recent municipal elections.,%,↑ Ascending (higher = better)
73,Outstanding debt per inhabitant,"Amount of the municipality's outstanding financial debt per inhabitant, in euros.",€,↓ Descending (lower = better)
74,Revenue from business tax and property tax,"Total revenue collected from the Business Activities Tax (IAE) and the Property Tax (IBI) per inhabitant, in euros.",€,↑ Ascending (higher = better)
76,Development NGOs per inhabitant,"Number of non-governmental development organisations (NGDOs) registered with the regional government and headquartered in the municipality per 10,000 inhabitants.","per 10,000 inhab.",↑ Ascending (higher = better)
75,Budget allocated to official development assistance,Amount of the municipal budget allocated to development cooperation and official development assistance (ODA) per inhabitant.,€/inhab.,↑ Ascending (higher = better)
55,Cultural facilities per population,"Number of cultural facilities (museums, libraries, theatres, civic centres, etc.) per 10,000 inhabitants of the municipality.","per 10,000 inhab.",↑ Ascending (higher = better)
56,Green space per inhabitant (sq m/inhab.),Green area (in sq m) per inhabitant in consolidated urban land.,sq m/inhab.,↑ Ascending (higher = better)
65,Share of forest area,"Proportion of the municipal area covered by forest masses (dense forest, open woodland, scrubland).",%,↑ Ascending (higher = better)
66,Municipal area under a protection designation with an open-space management body,Percentage of the municipal area included in protected natural spaces with an active management plan.,%,↑ Ascending (higher = better)
67,Non-developable land area,Proportion of the municipal area classified as non-developable land relative to the total municipal territory.,%,↑ Ascending (higher = better)
95,"Financial institutions per 10,000 inhabitants","Number of banks, credit cooperatives, community credit branches and credit financial establishments in the municipality per 1,000 inhabitants.","per 10,000",↑ Ascending (higher = better)
79,Ratio of land consumption rate to population growth rate,Ratio between the rate of growth of artificialised land and the rate of population growth over the same period.,Index,↓ Descending (lower = better)
90,Terrestrial ecosystem connectivity index of Catalonia,"Indicator based on the ecological connectivity index of ecosystems as described by the Junta de Andalucía in ""Plan Director para la Mejora de la Conectividad Ecológica en Andalucía. Una Estrategia de Infraestructura Verde"" (May 2018). The calculation takes into account the distances between terrestrial natural spaces of the same type (forests, grasslands, etc.) and the artificial infrastructure that fragments them. Two natural spaces are considered connected when they are less than 2,500 m apart and are not divided by any artificial infrastructure. The indicator weights the connectance percentage of each ecosystem by the proportion of total studied natural area it represents within the municipality.",Index,↑ Ascending (higher = better)
123,Share of buildings built from 2010 onwards,Percentage of the building stock built since 2010 relative to total buildings.,%,↑ Ascending (higher = better)
171,Youth unemployment rate,Percentage of unemployed persons under 25 relative to total unemployed. Based on registered unemployment data by municipality disaggregated by age group.,%,↓ Descending (lower = better)
287,Percentage of patients readmitted within 30 days for selected conditions,"Proportion of patients readmitted to a SISCAT hospital within 30 days of discharge, for a set of selected conditions: COPD, pneumonia, asthma, congestive heart failure, angina pectoris, AMI, urinary tract infections, diabetes mellitus complications and femoral neck fracture.",%,↓ Descending (lower = better)
288,Treated prevalence of any mental health or addiction diagnosis,"Number of persons treated at an Outpatient Mental Health Centre (CSMA) for any mental health or addiction disorder, per 100,000 inhabitants. Includes diagnoses of anxiety, stress disorders, suicidal ideation, mood disorders, addictions and neurodevelopmental disorders.","per 100,000 inhab.",↓ Descending (lower = better)
289,Obesity prevalence,Percentage of the population with an obesity diagnosis (BMI ≥ 30) recorded by a healthcare professional in the public health system's medical records.,%,↓ Descending (lower = better)
290,Potentially avoidable hospitalisation rate,"Number of conventional hospitalisation discharges with a main diagnosis classified as potentially avoidable for the population aged 19 and over, per 100,000 inhabitants. Conditions: diabetes mellitus complications, congestive heart failure, COPD, asthma, angina pectoris, urinary tract infections, bacterial pneumonia, dehydration and hypertension.","per 100,000 inhab.",↓ Descending (lower = better)
291,Access within 10 days,Percentage of persons who obtain an appointment with their primary and community care reference professional (family doctor or nurse) within a maximum of 10 days from the request.,%,↑ Ascending (higher = better)
292,Preventive vaccination coverage rate,"Composite indicator averaging two vaccination coverages: the percentage of persons aged 60 and over vaccinated against seasonal influenza, and the percentage of children aged 5 who have received two doses of the MMR vaccine (measles, mumps and rubella).",%,↑ Ascending (higher = better)
